INFO 2019-07-26 14:41:54,493 Watching for file changes with StatReloader
DEBUG 2019-07-26 14:41:54,494 Waiting for apps ready_event.
DEBUG 2019-07-26 14:41:54,641 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2019-07-26 14:41:54,641 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wx/wechat/locale with glob **/*.mo.
DEBUG 2019-07-26 14:41:54,642 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
DEBUG 2019-07-26 14:41:54,642 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
DEBUG 2019-07-26 14:41:54,642 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
DEBUG 2019-07-26 14:41:54,642 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
DEBUG 2019-07-26 14:41:54,642 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
DEBUG 2019-07-26 14:41:54,642 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
DEBUG 2019-07-26 14:41:54,643 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wx/wechat/officialAccount/locale with glob **/*.mo.
DEBUG 2019-07-26 14:41:54,740 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
INFO 2019-07-26 14:47:46,425 Watching for file changes with StatReloader
DEBUG 2019-07-26 14:47:46,425 Waiting for apps ready_event.
DEBUG 2019-07-26 14:47:46,529 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2019-07-26 14:47:46,529 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wx/wechat/locale with glob **/*.mo.
DEBUG 2019-07-26 14:47:46,529 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
DEBUG 2019-07-26 14:47:46,529 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
DEBUG 2019-07-26 14:47:46,529 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
DEBUG 2019-07-26 14:47:46,529 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
DEBUG 2019-07-26 14:47:46,529 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
DEBUG 2019-07-26 14:47:46,530 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
DEBUG 2019-07-26 14:47:46,530 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wx/wechat/officialAccount/locale with glob **/*.mo.
DEBUG 2019-07-26 14:47:46,580 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
INFO 2019-07-26 15:00:15,925 Watching for file changes with StatReloader
DEBUG 2019-07-26 15:00:15,927 Waiting for apps ready_event.
DEBUG 2019-07-26 15:00:16,039 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2019-07-26 15:00:16,039 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wx/wechat/locale with glob **/*.mo.
DEBUG 2019-07-26 15:00:16,039 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
DEBUG 2019-07-26 15:00:16,040 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
DEBUG 2019-07-26 15:00:16,040 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
DEBUG 2019-07-26 15:00:16,040 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
DEBUG 2019-07-26 15:00:16,040 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
DEBUG 2019-07-26 15:00:16,040 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
DEBUG 2019-07-26 15:00:16,040 Watching dir /Users/slothgreed/pycharm/PycharmProjects/wx/wechat/officialAccount/locale with glob **/*.mo.
DEBUG 2019-07-26 15:00:16,125 File /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/db/models/fields/mixins.py first seen with mtime 1563461518.571405
DEBUG 2019-07-26 15:00:16,125 File /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/db/models/constraints.py first seen with mtime 1563461518.555392
DEBUG 2019-07-26 15:00:16,126 File /Users/slothgreed/pycharm/PycharmProjects/wechat/venv/lib/python3.7/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1563461517.517423
